analysis,replicate,index,id,peak,polarity,pre_ce,pre_mz,pro_mz,idx,rt,rtmin,rtmax,intensity,width,area,sn,calibration,concentration
0.5,cal_0.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT344,0,0,0,0,236,344.375,339.174987792969,352.774993896484,45.8414040313715,13.6000061035156,215.518661921321,163.7,0.5,0.469434042577873
1,cal_1,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT344,0,0,0,0,235,343.75,338.149993896484,352.150024414063,89.4760473341785,14.0000305175781,421.941277176043,182.9,1,0.955319240136861
1.5,cal_1.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,234,343.25,337.649993896484,351.649993896484,132.207646393612,14,627.948359845927,165.5,1.5,1.44022634170658
2,cal_2,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,233,342.850006103516,337.25,354.049987792969,184.432019801213,16.7999877929688,914.908476256837,1152.3,2,2.11568369254874
2.5,cal_2.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,232,342.725006103516,337.125,353.924987792969,217.582289445557,16.7999877929688,1080.96085626092,632,2.5,2.50654393508497
20240815_67_BVCZ_1,Sample,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,232,342.799987792969,337.199981689453,354.399993896484,222.824953989885,17.2000122070313,1103.97155931474,911.3,,2.56070738023598
20240815_67_BVCZ_2,Sample,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,233,343.100006103516,337.5,355.100006103516,225.963985840944,17.6000061035156,1123.80127992303,942.3,,2.60738331108497
20240815_67_BVCZ_3,Sample,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,234,343.375,337.375,354.975006103516,223.859850829006,17.6000061035156,1108.18956211201,772.7,,2.57063587145255
3,cal_3,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,232,342.699981689453,336.700012207031,353.900024414063,259.341916532681,17.2000122070313,1302.99400792199,692.9,3,3.02917379144233
3.5,cal_3.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,232,342.600006103516,336.600006103516,354.599975585938,303.826224432976,17.9999694824219,1547.44090826825,713.8,3.5,3.60456195964697
4,cal_4,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT342,0,0,0,0,231,342.200012207031,336.600006103516,355.399993896484,336.838120136174,18.7999877929688,1721.94472922061,841.4,4,4.01531551692366
4.5,cal_4.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT342,0,0,0,0,231,342.100006103516,336.5,353.700012207031,369.694689987041,17.2000122070313,1905.09941007027,724.4,4.5,4.4464317886494
5,cal_5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT342,0,0,0,0,230,341.825012207031,336.225006103516,353.424987792969,405.377263916617,17.1999816894531,2105.14635246639,670.5,5,4.91730969128262
BVCZ Kal 24-3 0.5,QC_0.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT345,0,0,0,0,238,345,339.800018310547,353.799987792969,42.9855307012058,13.9999694824219,201.646824560567,214.8,,0.436781997993422
QC_BVCZ_1608_2_5mgmL_1,QC_2.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,233,342.924987792969,337.324981689453,353.725006103516,219.148748336342,16.4000244140625,1091.64636177086,675.3,,2.53169587373912
QC_BVCZ_1608_2_5mgmL_2,QC_2.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,233,342.824981689453,337.225006103516,356.025024414063,233.701376508371,18.8000183105469,1176.24062849252,771.4,,2.73081699207053
QC_BVCZ_1608_2_5mgmL_3,QC_2.5,1,"DAD1 A: Sig=214,4  Ref=off",C1_P1_RT343,0,0,0,0,233,343.149993896484,337.550018310547,354.75,222.388238875133,17.1999816894531,1114.26097685522,988.2,,2.58492699235675
